date,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code
9/9/2013,76.0,66.0,55.0,58.0,55.0,52.0,90.0,70.0,50.0,29.82,29.77,29.72,10.0,10.0,10.0,26.0,11.0,30.0,0,1.0,,303.0,94107
9/10/2013,74.0,66.0,57.0,59.0,56.0,54.0,93.0,73.0,53.0,29.91,29.82,29.76,10.0,10.0,10.0,17.0,8.0,21.0,0,1.0,,230.0,94107
9/12/2013,71.0,65.0,59.0,58.0,57.0,55.0,84.0,73.0,61.0,29.99,29.95,29.91,10.0,10.0,9.0,25.0,11.0,30.0,0,7.0,Fog,268.0,94107
9/14/2013,66.0,62.0,57.0,55.0,54.0,53.0,87.0,77.0,67.0,29.86,29.81,29.77,10.0,10.0,9.0,25.0,16.0,33.0,0,7.0,,265.0,94107
9/15/2013,73.0,66.0,58.0,59.0,55.0,52.0,90.0,72.0,53.0,29.88,29.85,29.81,10.0,10.0,6.0,23.0,13.0,26.0,0,5.0,,276.0,94107
9/17/2013,68.0,63.0,57.0,55.0,53.0,50.0,86.0,72.0,58.0,29.91,29.87,29.84,10.0,10.0,10.0,39.0,22.0,51.0,0,3.0,,270.0,94107
9/19/2013,80.0,67.0,54.0,56.0,50.0,46.0,77.0,58.0,38.0,29.87,29.82,29.76,10.0,10.0,10.0,26.0,10.0,33.0,0,0.0,,297.0,94107
9/20/2013,73.0,65.0,56.0,59.0,56.0,50.0,87.0,70.0,53.0,29.88,29.84,29.79,10.0,10.0,9.0,17.0,10.0,23.0,0,6.0,,248.0,94107
9/21/2013,68.0,63.0,58.0,59.0,56.0,53.0,90.0,75.0,59.0,29.91,29.85,29.82,10.0,9.0,2.0,24.0,12.0,28.0,0.23,6.0,Rain,218.0,94107
9/23/2013,78.0,68.0,57.0,58.0,54.0,50.0,78.0,64.0,50.0,30.03,29.99,29.95,10.0,10.0,10.0,24.0,9.0,30.0,0,0.0,,294.0,94107
9/24/2013,71.0,65.0,58.0,54.0,52.0,50.0,78.0,66.0,53.0,30.01,29.97,29.93,10.0,10.0,10.0,36.0,19.0,43.0,0,1.0,,277.0,94107
8/29/2013,80.0,71.0,62.0,63.0,59.0,57.0,94.0,79.0,48.0,30.07,30.02,29.97,10.0,10.0,10.0,14.0,6.0,17.0,0,5.0,,313.0,94063
9/1/2013,80.0,71.0,62.0,61.0,57.0,55.0,82.0,72.0,42.0,29.97,29.94,29.89,10.0,10.0,10.0,13.0,5.0,17.0,0,3.0,,294.0,94063
9/14/2013,66.0,62.0,57.0,57.0,55.0,54.0,94.0,82.0,68.0,29.86,29.82,29.78,10.0,10.0,10.0,14.0,9.0,20.0,0,5.0,,266.0,94063
